Date,Euro,GBP,JPY,CNY,MSCI,Natural_Gas,Brent_Oil,Silver,Gold,GSCI_Precious_Metal,CAC40,DAX,Dow_Jones,FTSE_100,FTSE_MIB,Nikkei_225,SHCOMP,BTC,ETH,BNB,SOL,XRP,DOGE
4/14/23,0.673952641,0.918096158,1.034977714,0.01892919,-0.12,5.33,0.26,0.26,0.44,-1.89,0.52,0.5,-0.42,0.36,0.89,1.2,0.6,0.549602808,4.850008713,1.24987689,-2.73,2.667691123,0.21
4/17/23,0.595510765,0.469293632,0.575743981,0.139758335,0.05,7.62,-1.8,-1.8,-2.05,-0.54,-0.28,-0.11,0.3,0.1,-0.62,0.07,1.42,-3.313057343,-1.363813359,3.291151554,1.03,-2.558194448,2.8
4/18/23,-0.392407374,-0.483130687,-0.29737566,-0.04506731,0.31,4,0.01,0.01,0.04,0.64,0.47,0.59,-0.03,0.38,0.69,0.51,0.23,3.078426582,0.78328856,0.782224838,-8.62,2.30348914,-6.45
4/19/23,0.045649594,-0.18485774,0.507046454,0.139626209,-0.09,-6.09,-1.95,-1.95,-2.1,-0.51,0.21,0.08,-0.23,-0.13,0.15,-0.18,-0.68,-3.937544442,-5.613329448,-5.133184215,-2.2,-5.428385315,-4.55
4/20/23,-0.154968095,-0.048200514,-0.511907412,-0.183003878,-0.38,1.22,-2.43,-2.43,-2.36,0.53,-0.14,-0.62,-0.33,0.05,-1.1,0.18,-0.09,-3.248722615,-1.671137203,-2.078927847,-4.13,-4.632457501,-6.52
4/21/23,-0.027339834,0.233513165,0.134228188,0.283739542,0.02,-0.71,0.69,0.69,0.75,-1.4,0.51,0.54,0.07,0.15,0.43,-0.33,-1.95,-3.385081838,-5.261776332,0.452652259,2.48,-6.308960516,2.35
4/24/23,-0.489707083,-0.30504937,0.09681263,0.05513639,0.13,1.79,1.31,1.31,1.14,0.52,-0.04,-0.11,0.2,-0.02,-0.75,0.1,-0.78,0.506653957,-0.412897618,3.674369847,2.53,4.014459106,1.26
4/25/23,0.537928519,0.475883207,-0.334796518,0.52495722,-1.32,1.5,-2.37,-2.37,-2.15,0.05,-0.56,0.05,-1.02,-0.27,-1.03,0.09,-0.32,3.1343926,2.066501187,1.832439399,-2.9,2.129712742,-1.43
4/26/23,-0.760043431,-0.704789364,-0.179157958,-0.085112522,-0.35,-8.24,-3.81,-3.81,-3.59,-0.39,-0.86,-0.48,-0.68,-0.49,-0.54,-0.71,-0.02,1.458204389,0.405146104,-1.85904238,4.92,-2.183618921,1.94
4/27/23,0.317690841,0.120279047,0.239306013,-0.059196373,1.3,11.24,0.88,0.88,0.62,0.19,0.23,0.03,1.57,-0.27,0.19,0.15,0.67,3.381346124,1.998392343,0.937464135,4.55,1.480919053,0.25
