Date,Euro,GBP,JPY,CNY,MSCI,Natural_Gas,Brent_Oil,Silver,Gold,GSCI_Precious_Metal,CAC40,DAX,Dow_Jones,FTSE_100,FTSE_MIB,Nikkei_225,SHCOMP,BTC,ETH,BNB,SOL,XRP,DOGE
2/3/23,-0.85180436,-1.525285481,2.039704165,0.694258615,-0.95,-1.67,-2.71,-5.12,-2.81,-3.02,0.94,-0.21,-0.38,1.04,-0.55,0.39,-0.68,-0.58570125,0.699292253,1.212557207,-1.3,0.46,3.01
2/6/23,-0.951501155,-0.530108507,1.28938735,0.273131265,-0.96,2.22,1.31,-0.75,0.15,0.07,-1.34,-0.84,-0.1,-0.82,0.27,0.67,-0.76,-0.452012303,-0.107665674,-0.508559275,5.18,-1.64,3.44
2/7/23,-0.158552509,0.033308352,-1.047002109,-0.01177891,0.96,5.09,3.33,-0.27,0.28,0.25,-0.07,-0.16,0.78,0.36,0.36,-0.03,0.29,1.520832787,1.990287398,1.840661781,-2.56,2.99,-2.56
2/8/23,0.270901448,0.665945226,-0.07612088,-0.029450744,-0.66,-7.02,1.67,1.1,0.31,0.4,-0.18,0.6,-0.61,0.26,0.15,-0.29,-0.49,-1.287548105,-0.858036663,-1.502753193,-11.78,-1.49,-9.67
2/9/23,0.251537172,0.529231787,-0.220918717,-0.159080866,-0.41,0.61,-0.69,-1.24,-0.65,-0.68,0.96,0.72,-0.73,0.33,1.26,-0.08,1.18,-5.073895278,-6.849207214,-7.144165654,-1.75,-4.01,-0.65
2/10/23,-0.845646315,-0.789668504,0.397007177,0.47800301,-0.24,4.61,2.24,-0.31,-0.21,-0.21,-0.82,-1.39,0.5,-0.36,-0.86,0.31,-0.3,-0.890773443,-1.90500959,0.367938394,3.43,0.11,1.64
2/13/23,0.449859419,0.621838985,0.920152091,0.135083546,0.94,-4.14,0.25,-1.01,-0.59,-0.61,1.11,0.58,1.11,0.83,0.63,-0.88,0.72,-0.66522916,-1.383758351,-7.802815654,5.13,-1.17,1.85
2/14/23,0.037320396,0.173038893,0.256197724,0.083580164,0.09,6.12,-1.19,0.1,0.1,0.1,0.07,-0.11,-0.46,0.08,0.22,0.64,0.28,2.518012193,4.211534982,1.563330669,9.33,3.14,6.86
2/15/23,-0.363738109,-1.036439911,0.879368658,0.373599004,0.1,-3.66,-0.23,-1.38,-1.08,-1.11,1.21,0.82,0.11,0.55,0.13,-0.37,-0.39,8.816427297,7.131650356,6.768316364,-6.65,4.99,-4.84
2/16/23,0.009360666,-0.108054193,-0.201162271,0.116771274,-0.88,-2.74,-0.28,0.64,0.35,0.37,0.89,0.18,-1.26,0.18,1.16,0.71,-0.96,-0.58126537,-1.110384193,-2.704985181,3.83,-4.23,3.21
