Date,Euro,GBP,JPY,CNY,MSCI,Natural_Gas,Brent_Oil,Silver,Gold,GSCI_Precious_Metal,CAC40,DAX,Dow_Jones,FTSE_100,FTSE_MIB,Nikkei_225,SHCOMP,BTC,ETH,BNB,SOL,XRP,DOGE
10/3/23,0.449631685,0.505427127,-0.427236315,0,-1.38,3.84,0.23,-0.21,-0.31,-0.3,-0.54,-1.06,-1.29,-0.54,-1.32,-1.64,0,-0.29257429,-0.050135608,-0.216860938,-1.98,0.008953789,0.15
10/4/23,-0.617988211,-0.723862795,-0.221238938,0,0.4,0.44,-5.62,-1.08,-0.36,-0.43,0,0.1,0.38,-0.77,-0.17,-2.28,0,1.052562427,-0.640002901,-0.134427489,-2.03,3.431718876,-1
10/5/23,-0.085494443,-0.115027524,-0.228448565,0,0.2,6.89,-2.03,-0.6,-0.16,-0.2,0.02,-0.2,-0.03,0.53,0.2,1.8,0,-0.832484596,-1.775450249,-1.104070615,3.59,-1.408660079,0.85
10/6/23,-0.651189128,-0.685434517,0.397333154,0,1.02,5.43,0.61,3.35,0.73,0.96,0.88,1.06,0.87,0.58,1.16,-0.26,0,2.171339916,2.355563812,1.532318111,-0.77,0.663242617,0.09
10/9/23,-0.207195329,-0.268554687,-0.308559163,-0.016447368,0.47,1.14,4.22,0.93,1.04,1.03,-0.55,-0.67,0.59,-0.03,-0.46,,-0.44,-1.105077198,-3.30642249,-2.447522693,0.01,-2.677750027,0.69
10/10/23,-0.207195329,-0.268554687,-0.308559163,-0.016447368,1.02,0.18,-0.57,0.13,0.59,0.55,2.01,1.95,0.4,1.82,2.3,2.43,-0.7,-0.714182292,-0.908993081,1.056493315,-0.38,-1.101046152,-1.05
10/11/23,-0.018832392,-0.130039012,0.370071323,0.060316938,0.4,-0.15,-2.09,0.82,0.64,0.66,-0.44,0.24,0.19,-0.11,0.36,0.6,0.12,-2.5812379,0.010859775,-1.093884128,-3.26,-2.442816924,-1.05
10/12/23,0.634890552,0.736859342,0.362003084,0.036990355,-0.53,-0.98,0.21,-0.79,-0.23,-0.28,-0.37,-0.23,-0.51,0.32,0.26,1.75,0.94,0.107407366,-1.817856641,-0.34910445,2.54,-0.74825824,0.85
10/13/23,0.485621786,0.617843315,-0.060116225,0.041085197,-0.76,-3.23,5.69,4.26,3.11,3.21,-1.42,-1.55,0.12,-0.59,-0.9,-0.55,-0.64,0.988433385,1.418236702,0.74687868,0.69,1.050451036,2.49
10/16/23,-0.417219799,-0.48368585,-0.033417992,0.076660871,0.81,-3.92,-1.36,-0.57,-0.37,-0.39,0.27,0.34,0.93,0.41,0.55,-2.03,-0.46,4.61467144,1.920032812,2.374730578,-0.08,1.715501719,-1.62
10/17/23,-0.443689229,-0.065541537,0.093601658,0,0.11,-0.96,0.28,1.14,0.07,0.17,0.11,0.09,0.04,0.58,-0.09,1.2,0.32,0.220854581,-1.753702015,-1.681509912,-2.16,-1.010251376,-0.77
10/18/23,0.579187239,0.46090535,0.100193708,0.076602148,-1.27,-0.75,1.78,0.33,1.68,1.56,-0.91,-1.03,-0.98,-1.14,-0.82,0.01,-0.8,-0.776551172,-0.21248544,-0.347738751,6.51,-0.776090164,0.51
10/19/23,-0.359508042,0.041169205,0.040037368,-0.047839696,-0.96,-3.24,0.96,-0.29,0.62,0.54,-0.64,-0.33,-0.75,-1.17,-1.38,-1.91,-1.74,1.19781444,0.315558577,-0.077016696,8.33,3.673020483,1.75
10/20/23,-0.207703927,-0.065827368,-0.046691569,0.039657577,-1.18,-1.96,-0.24,2.05,0.7,0.82,-1.52,-1.64,-0.86,-1.3,-1.4,-0.54,-0.74,3.536581956,2.806797693,1.240353598,8.6,2.928109017,2.16
10/23/23,-0.507232763,-0.670208418,-0.04671338,0.004100882,-0.16,0.93,-2.53,-1.74,-0.33,-0.41,0.5,0.02,-0.58,-0.37,0.74,-0.83,-1.47,6.338352358,4.95435492,4.30207611,-5.52,3.876022797,-1.3
10/24/23,0.481359132,0.534100247,0.040058753,-0.092949507,0.55,1.54,-1.96,-0.42,-0.09,-0.11,0.63,0.54,0.62,0.2,0.05,0.2,0.78,7.873565398,4.057358438,0.69428022,7.57,4.260180408,2.63
10/25/23,0.113389398,0.247116969,0.066737854,0.102613217,-1.07,1.31,2.34,-0.45,0.44,0.36,0.31,0.08,-0.32,0.33,-0.52,0.67,0.4,1.237913065,0.113578506,-1.117546184,1.04,-1.371826117,5.17
10/26/23,0.484238511,0.222901015,0.33346672,-0.020501606,-1.12,6.78,-2.44,-0.44,0.13,0.08,-0.38,-1.08,-0.76,-0.81,0.29,-2.14,0.48,-1.291929851,0.590161736,-0.066770931,-3.22,-0.402687956,-5.64
10/27/23,-0.566465257,-0.312731462,-0.558362138,0.028708134,-0.33,-1.56,2.9,-0.09,0.06,0.04,-1.36,-0.3,-1.12,-0.86,-0.8,1.27,0.99,-0.782665283,-1.050058337,0.828692119,-0.29,-1.025016492,1.8
10/30/23,-0.263653484,-0.049354281,-0.394385027,-0.051933143,0.94,5.94,-3.35,2.73,0.36,0.52,0.44,0.2,1.58,0.5,0.19,-0.95,0.12,-0.676084414,0.230926419,0.129454099,9.89,3.775439729,-1.87
10/31/23,0.492051476,0.181293778,1.644184954,0.045123269,0.4,6.65,-0.05,-1.9,-0.56,-0.68,0.89,0.64,0.38,-0.08,1.47,0.53,-0.09,0.272042552,-0.008287568,-0.823929002,7.07,3.414054843,0.99
11/1/23,0.284684001,0.0659685,-0.330120164,0.012300795,1.04,-2.27,-3.18,-0.71,-0.34,-0.37,0.68,0.76,0.67,0.28,0.88,2.41,0.14,2.069781366,1.88695926,0.386663426,-2.11,1.983815887,-1.54
11/2/23,-0.753437559,-0.394250513,-0.317965024,-0.020498804,1.97,-0.63,2.62,0.25,0.3,0.3,1.85,1.48,1.7,1.42,1.77,1.1,-0.45,-1.405525188,-2.59173292,1.522208038,-1.97,-1.0080166,0.29
11/3/23,-1.071461847,-1.608210765,-0.744284955,-0.211864407,1.1,1.24,-2.26,1.92,0.29,0.43,-0.19,0.3,0.66,-0.39,0.69,0,0.71,-0.436003483,1.990368288,-0.146556359,7.53,1.452085324,1.47
11/6/23,-0.130268912,-0.137196352,0.274504553,-0.42462845,0.2,-7.14,0.34,-0.22,-0.53,-0.5,-0.48,-0.35,0.1,0,-0.29,2.37,0.91,0.364305491,0.871670959,4.158220813,1.8,10.66668097,-3.98
11/7/23,0.561429774,0.772608979,0.467383321,0.12793177,-0.07,-3.8,-4.19,-2.78,-0.76,-0.73,-0.39,0.11,0.17,-0.1,-0.69,-1.34,-0.04,0.491664199,-1.222401412,-3.437032852,0.42,-5.469994542,2.62
11/8/23,-0.261315912,-0.040647102,0.199375291,0.016486234,0.04,-1.08,-2.54,0.62,-0.8,-0.46,0.69,0.51,-0.12,-0.11,0.13,-0.33,-0.16,1.397234428,0.574889915,0.180000081,5.12,0.752768847,-2.33
11/9/23,0.046685341,0.179167685,0.179080719,0.048076923,-0.33,-2.09,0.59,0.78,0.61,0.84,1.13,0.81,-0.65,0.73,0.74,1.49,0.03,2.134864423,10.76899486,0.767783123,25.02,-3.479741866,2.55
11/10/23,0.093457944,0.089664167,0.344279661,0.075513146,0.76,-0.26,1.77,-2.72,-1.63,-1.51,-0.96,-0.77,1.15,-1.28,-0.49,-0.24,-0.47,2.244252591,-0.553266852,1.201060991,-0.57,-0.28359347,4.16
11/13/23,0.093457944,0.089664167,0.344279661,0.075513146,0.13,5.41,1.34,0.35,0.65,0.83,0.6,0.73,0.16,0.89,1.48,0.05,0.25,-1.858174002,-0.116896093,-2.829422129,9.98,-1.666984832,-2.87
11/14/23,-1.482368106,-1.722342386,-0.534441805,-0.49389491,2.02,-2.85,-0.06,3.46,0.84,1.05,1.39,1.76,1.43,0.2,1.45,0.34,0.31,-2.375535222,-3.505645259,0.315853093,15.37,-3.760568526,5.28
11/15/23,0.073712338,0.418309066,0.212271973,-0.088239349,0.4,8.24,-1.56,1.76,-0.11,0.06,0.33,0.86,0.47,0.62,0.42,2.52,0.55,5.933126671,3.346149588,4.372119126,-11.81,3.056313554,4.34
